,Base,Us
Korea_grip,0.7280036867214461,0.7045834427971313
Dutch_drinking_inh,0.6343527968676481,0.5051738761354989
Dutch_drinking_wm,0.7203074810012104,0.6138301109154832
Dutch_drinking_sha,0.6182235263032267,0.40838850021414863
Brazil_health_heart,0.7853846512463287,0.037130692546625155
Brazil_health_stroke,0.4155946337625749,0.07721665548804864
China_glucose_women2,0.849599972719718,0.785764941601665
China_glucose_men2,1.0239058240224472,0.6824943418486169
Spain_Hair,0.9992869818921032,0.8249484056214195
China_HIV,0.8579352993022182,0.5919527320382447
