,Base,Us
Korea_grip,0.7157293106164904,0.8724508818023895
Dutch_drinking_inh,0.6258801469636548,0.5008022312343756
Dutch_drinking_wm,0.700139180271179,0.6622794089021585
Dutch_drinking_sha,0.600988683193386,0.3851556618916052
Brazil_health_heart,0.6595008222385376,0.03689587471508622
Brazil_health_stroke,0.4514052516252917,0.08521718997543928
China_glucose_women2,0.729010238274247,0.5892632408083481
China_glucose_men2,0.9670466604896325,1.0046876929121913
Spain_Hair,0.8725121642994251,0.7835752032764624
China_HIV,0.7555384553049193,0.7523608361959495
