,Base,Us
Korea_grip,1.0,0.08823529411764706
Dutch_drinking_inh,1.0,0.08305830583058306
Dutch_drinking_wm,1.0,0.06320417697169552
Dutch_drinking_sha,1.0,0.08955635161201433
Brazil_health_heart,1.0,0.055220017256255395
Brazil_health_stroke,1.0,0.07064093728463129
China_glucose_women2,1.0,0.245985401459854
China_glucose_men2,1.0,0.05122324159021407
Spain_Hair,1.0,0.7169811320754716
China_HIV,1.0,0.06500691562932227
