,Base,Us
Korea_grip,0.589779631113625,0.5749685642013844
Dutch_drinking_inh,0.6005956519450164,0.5118787966857001
Dutch_drinking_wm,0.6980476344089437,0.6397256097924223
Dutch_drinking_sha,0.6257096180190906,0.38224071250354513
Brazil_health_heart,0.6809047688537601,0.042398082535134995
Brazil_health_stroke,1.9705927558375387,0.05545222240795421
China_glucose_women2,0.8705166527967368,0.7771685844718494
China_glucose_men2,0.9016427607806845,0.803714258217398
Spain_Hair,0.8828567232842613,1.51140037199859
China_HIV,0.8486683908997446,0.5814338073012464
