,Base,Us
Korea_grip,0.7708058790476736,0.7565104046318478
Dutch_drinking_inh,0.6300540688354885,0.5029522263644719
Dutch_drinking_wm,0.7432912428701476,0.49702684624713284
Dutch_drinking_sha,0.6160584335517807,0.3495099387784434
Brazil_health_heart,0.7097276929350653,0.060387816893103255
Brazil_health_stroke,0.5588943869193952,0.05734995025225743
China_glucose_women2,0.7788033216595801,0.48529031775414083
China_glucose_men2,0.9726412642047448,0.6160311465880903
Spain_Hair,0.7930707546574255,0.7031068502129814
China_HIV,0.8288262029531589,0.9518501706923883
