,Base,Us
Korea_grip,0.8032538250644561,0.7959594955750002
Dutch_drinking_inh,0.6667128200250875,0.39605091625413563
Dutch_drinking_wm,0.6815637347358331,0.5800092916832887
Dutch_drinking_sha,0.6555285104968523,0.41515762496509045
Brazil_health_heart,0.8222438710342506,0.0353253884430958
Brazil_health_stroke,0.6647238203657779,0.054568814041897465
China_glucose_women2,0.8771329849446368,0.6971243682696673
China_glucose_men2,0.931928416278864,0.8606595878733084
Spain_Hair,0.9026606691908245,0.5430405191585892
China_HIV,0.8293568631994848,0.7814884552145814
