,Base,Us
Korea_grip,1.0,0.22549019607843138
Dutch_drinking_inh,1.0,0.08443344334433443
Dutch_drinking_wm,1.0,0.13492717779609784
Dutch_drinking_sha,1.0,0.06613392119041059
Brazil_health_heart,1.0,0.04443485763589301
Brazil_health_stroke,1.0,0.08511371467953135
China_glucose_women2,1.0,0.19197080291970803
China_glucose_men2,1.0,0.13761467889908258
Spain_Hair,1.0,0.16981132075471697
China_HIV,1.0,0.23098201936376211
