,Base,Us
Korea_grip,1.0,0.46405228758169936
Dutch_drinking_inh,1.0,0.10891089108910891
Dutch_drinking_wm,1.0,0.09837867546029129
Dutch_drinking_sha,1.0,0.09148525764673464
Brazil_health_heart,1.0,0.06169111302847282
Brazil_health_stroke,1.0,0.05616815988973122
China_glucose_women2,1.0,0.40875912408759124
China_glucose_men2,1.0,0.07110091743119266
Spain_Hair,1.0,0.20754716981132076
China_HIV,1.0,0.4094052558782849
