,Base,Us
Korea_grip,1.0,0.11764705882352941
Dutch_drinking_inh,1.0,0.06793179317931793
Dutch_drinking_wm,1.0,0.0524869469634515
Dutch_drinking_sha,1.0,0.1600992008817856
Brazil_health_heart,1.0,0.08757549611734254
Brazil_health_stroke,1.0,0.06995175740868366
China_glucose_women2,1.0,0.11897810218978103
China_glucose_men2,1.0,0.046636085626911315
Spain_Hair,1.0,0.29559748427672955
China_HIV,1.0,0.1715076071922545
