,Base,Us
Korea_grip,1.0,0.1895424836601307
Dutch_drinking_inh,1.0,0.21314631463146314
Dutch_drinking_wm,1.0,0.12256114317120088
Dutch_drinking_sha,1.0,0.11518324607329843
Brazil_health_heart,1.0,0.057808455565142365
Brazil_health_stroke,1.0,0.06719503790489317
China_glucose_women2,1.0,0.2576642335766423
China_glucose_men2,1.0,0.04969418960244648
Spain_Hair,1.0,0.06918238993710692
China_HIV,1.0,0.12863070539419086
