-1.757223744226351636e+00,-7.476935333494960645e-02
-2.167807595996377401e+00,2.534311068096654296e+00
-3.013722095571800708e+00,9.383352792417534172e-01
-2.401485733796709265e+00,5.238879065791866907e+00
-2.982577280579565837e+00,8.125955009373587723e-01
-7.402058471072856527e-01,1.183055284569434429e+00
-1.288316453964532426e+00,2.635000117441844036e+00
-2.134033086875600227e-01,8.918084865187855925e+00
-2.503670607752793709e-01,6.750392678051215789e+00
-4.789924549758926453e+00,8.738392508636064093e+00
-2.313342723169684589e+00,3.186502128481083496e+00
