,Base,Us
Korea_grip,0.748422017340573,0.5318066067648821
Dutch_drinking_inh,0.624963825683246,0.6255615477174276
Dutch_drinking_wm,0.7370460444033099,0.5421089449673346
Dutch_drinking_sha,0.6575475043431898,0.5784946545992955
Brazil_health_heart,0.7265720577751374,0.046960045996399725
Brazil_health_stroke,0.6265500181140209,0.0585689603481445
China_glucose_women2,0.8695176468877653,0.6012586087468574
China_glucose_men2,0.9297501634858671,0.9765677471114458
Spain_Hair,1.0984578527705473,1.1210945655561433
China_HIV,0.8580016943245403,0.5093885434627564
