,Base,Us
Korea_grip,0.7754727806096017,0.8328294660864499
Dutch_drinking_inh,0.6531241144518051,0.5721093431012627
Dutch_drinking_wm,0.6892450036135054,0.647549936342973
Dutch_drinking_sha,0.6403111380772563,0.40054111648751933
Brazil_health_heart,0.7056298403096414,0.030556084531067854
Brazil_health_stroke,2.0421455331132368,0.06021292647065747
China_glucose_women2,0.8108813286195361,0.7983059942490717
China_glucose_men2,0.9591070436464314,0.643739088966296
Spain_Hair,1.0795757087046218,1.5830971699894605
China_HIV,0.8367040778561933,0.6716922660314746
