,Base,Us
Korea_grip,0.6080393308351487,0.7912349895018232
Dutch_drinking_inh,0.6602821663058998,0.5186164855881192
Dutch_drinking_wm,0.721752326094841,0.4180924160390684
Dutch_drinking_sha,0.6565181375598942,0.3773396322298395
Brazil_health_heart,1.333487512998067,0.0403266555140333
Brazil_health_stroke,0.6553566228741636,0.07547344847781338
China_glucose_women2,0.8447445642336214,0.5585661424458636
China_glucose_men2,0.9495980950653617,0.6974066599784489
Spain_Hair,0.9279083711609574,0.7350141284645845
China_HIV,0.8034853406691127,0.5938759521403675
